[2026-02-20 11:23:14,391][findlibs][DEBUG] - loaded libeckit_geo.so
[2026-02-20 11:23:14,392][findlibs][DEBUG] - considering libeckit_geometry.so
[2026-02-20 11:23:14,392][findlibs][DEBUG] - loading libeckit_geometry.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:14,392][findlibs][DEBUG] - loaded libeckit_geometry.so
[2026-02-20 11:23:14,393][findlibs][DEBUG] - considering libeckit_linalg.so
[2026-02-20 11:23:14,393][findlibs][DEBUG] - loading libeckit_linalg.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:14,393][findlibs][DEBUG] - loaded libeckit_linalg.so
[2026-02-20 11:23:14,394][findlibs][DEBUG] - considering libeckit_maths.so
[2026-02-20 11:23:14,394][findlibs][DEBUG] - loading libeckit_maths.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:14,394][findlibs][DEBUG] - loaded libeckit_maths.so
[2026-02-20 11:23:14,395][findlibs][DEBUG] - considering libeckit_mpi.so
[2026-02-20 11:23:14,395][findlibs][DEBUG] - loading libeckit_mpi.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:14,395][findlibs][DEBUG] - loaded libeckit_mpi.so
[2026-02-20 11:23:14,396][findlibs][DEBUG] - considering libeckit_option.so
[2026-02-20 11:23:14,396][findlibs][DEBUG] - loading libeckit_option.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:14,396][findlibs][DEBUG] - loaded libeckit_option.so
[2026-02-20 11:23:14,397][findlibs][DEBUG] - considering libeckit_sql.so
[2026-02-20 11:23:14,397][findlibs][DEBUG] - loading libeckit_sql.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:14,397][findlibs][DEBUG] - loaded libeckit_sql.so
[2026-02-20 11:23:14,398][findlibs][DEBUG] - considering libeckit_web.so
[2026-02-20 11:23:14,398][findlibs][DEBUG] - loading libeckit_web.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:14,398][findlibs][DEBUG] - loaded libeckit_web.so
[2026-02-20 11:23:14,399][findlibs][DEBUG] - considering pkgconfig
[2026-02-20 11:23:14,400][findlibs][DEBUG] - initiating recursive search at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/fckitlib/lib64
[2026-02-20 11:23:14,401][findlibs][DEBUG] - considering cmake
[2026-02-20 11:23:14,401][findlibs][DEBUG] - considering libfckit.so
[2026-02-20 11:23:14,401][findlibs][DEBUG] - loading libfckit.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/fckitlib/lib64
[2026-02-20 11:23:14,488][findlibs][DEBUG] - loaded libfckit.so
[2026-02-20 11:23:14,488][findlibs][DEBUG] - considering libifcoremt.so.5
[2026-02-20 11:23:14,489][findlibs][DEBUG] - loading libifcoremt.so.5 at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/fckitlib/lib64
[2026-02-20 11:23:14,490][findlibs][DEBUG] - loaded libifcoremt.so.5
[2026-02-20 11:23:14,490][findlibs][DEBUG] - considering libifport.so.5
[2026-02-20 11:23:14,491][findlibs][DEBUG] - loading libifport.so.5 at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/fckitlib/lib64
[2026-02-20 11:23:14,492][findlibs][DEBUG] - loaded libifport.so.5
[2026-02-20 11:23:14,492][findlibs][DEBUG] - considering libimf.so
[2026-02-20 11:23:14,492][findlibs][DEBUG] - loading libimf.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/fckitlib/lib64
[2026-02-20 11:23:14,494][findlibs][DEBUG] - loaded libimf.so
[2026-02-20 11:23:14,494][findlibs][DEBUG] - considering libintlc.so.5
[2026-02-20 11:23:14,494][findlibs][DEBUG] - loading libintlc.so.5 at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/fckitlib/lib64
[2026-02-20 11:23:14,495][findlibs][DEBUG] - loaded libintlc.so.5
[2026-02-20 11:23:14,495][findlibs][DEBUG] - considering libirc.so
[2026-02-20 11:23:14,496][findlibs][DEBUG] - loading libirc.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/fckitlib/lib64
[2026-02-20 11:23:14,497][findlibs][DEBUG] - loaded libirc.so
[2026-02-20 11:23:14,497][findlibs][DEBUG] - considering libsvml.so
[2026-02-20 11:23:14,497][findlibs][DEBUG] - loading libsvml.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/fckitlib/lib64
[2026-02-20 11:23:14,498][findlibs][DEBUG] - loaded libsvml.so
[2026-02-20 11:23:14,499][findlibs][DEBUG] - found libeccodes.so/eccodeslib in <function _find_in_package at 0x7fd72655b420>
[2026-02-20 11:23:14,499][gribapi.bindings][DEBUG] - eccodes lib search: findlibs returned /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eccodeslib/lib64/libeccodes.so
