[2026-02-20 11:25:41,532][findlibs][DEBUG] - loaded libeckit_geo.so
[2026-02-20 11:25:41,533][findlibs][DEBUG] - considering libeckit_geometry.so
[2026-02-20 11:25:41,533][findlibs][DEBUG] - loading libeckit_geometry.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:25:41,533][findlibs][DEBUG] - loaded libeckit_geometry.so
[2026-02-20 11:25:41,533][findlibs][DEBUG] - considering libeckit_linalg.so
[2026-02-20 11:25:41,533][findlibs][DEBUG] - loading libeckit_linalg.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:25:41,533][findlibs][DEBUG] - loaded libeckit_linalg.so
[2026-02-20 11:25:41,533][findlibs][DEBUG] - considering libeckit_maths.so
[2026-02-20 11:25:41,533][findlibs][DEBUG] - loading libeckit_maths.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:25:41,533][findlibs][DEBUG] - loaded libeckit_maths.so
[2026-02-20 11:25:41,533][findlibs][DEBUG] - considering libeckit_mpi.so
[2026-02-20 11:25:41,534][findlibs][DEBUG] - loading libeckit_mpi.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:25:41,534][findlibs][DEBUG] - loaded libeckit_mpi.so
[2026-02-20 11:25:41,535][findlibs][DEBUG] - considering libeckit_option.so
[2026-02-20 11:25:41,535][findlibs][DEBUG] - loading libeckit_option.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:25:41,535][findlibs][DEBUG] - loaded libeckit_option.so
[2026-02-20 11:25:41,535][findlibs][DEBUG] - considering libeckit_sql.so
[2026-02-20 11:25:41,535][findlibs][DEBUG] - loading libeckit_sql.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:25:41,535][findlibs][DEBUG] - loaded libeckit_sql.so
[2026-02-20 11:25:41,535][findlibs][DEBUG] - considering libeckit_web.so
[2026-02-20 11:25:41,535][findlibs][DEBUG] - loading libeckit_web.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:25:41,535][findlibs][DEBUG] - loaded libeckit_web.so
[2026-02-20 11:25:41,535][findlibs][DEBUG] - considering pkgconfig
[2026-02-20 11:25:41,536][findlibs][DEBUG] - initiating recursive search at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/fckitlib/lib64
[2026-02-20 11:25:41,537][findlibs][DEBUG] - considering cmake
[2026-02-20 11:25:41,537][findlibs][DEBUG] - considering libfckit.so
[2026-02-20 11:25:41,537][findlibs][DEBUG] - loading libfckit.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/fckitlib/lib64
[2026-02-20 11:25:41,576][findlibs][DEBUG] - loaded libfckit.so
[2026-02-20 11:25:41,576][findlibs][DEBUG] - considering libifcoremt.so.5
[2026-02-20 11:25:41,576][findlibs][DEBUG] - loading libifcoremt.so.5 at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/fckitlib/lib64
[2026-02-20 11:25:41,578][findlibs][DEBUG] - loaded libifcoremt.so.5
[2026-02-20 11:25:41,579][findlibs][DEBUG] - considering libifport.so.5
